Urban Storage Function Model Solved by R-K-G Method

   k       rain       obsq       calq
   0                         0.0012
   1 0.000000000 0.001200000 0.001199878
   2 0.280000000 0.001200000 0.001201645
   3 0.000000000 0.001200000 0.001205009
   4 0.000000000 0.001200000 0.001208238
   5 0.000000000 0.001200000 0.001211332
   6 0.000000000 0.001200000 0.001214290
   7 0.120000000 0.001200000 0.001217909
   8 0.000000000 0.001200000 0.001222178
   9 0.000000000 0.001200000 0.001226295
  10 0.000000000 0.001200000 0.001230259
  11 0.000000000 0.001200000 0.001234070
  12 0.000000000 0.001200000 0.001237728
  13 0.000000000 0.001200000 0.001241233
  14 0.000000000 0.001200000 0.001244585
  15 0.000000000 0.001200000 0.001247784
  16 0.000000000 0.001200000 0.001250831
  17 0.000000000 0.001200000 0.001253727
  18 0.000000000 0.001200000 0.001256473
  19 0.000000000 0.001200000 0.001259070
  20 0.000000000 0.001200000 0.001261519
  21 0.000000000 0.001200000 0.001263822
  22 0.000000000 0.001200000 0.001265980
  23 0.000000000 0.001200000 0.001267994
  24 0.000000000 0.001200000 0.001269868
  25 0.000000000 0.001200000 0.001271601
  26 0.000000000 0.001200000 0.001273197
  27 0.000000000 0.001200000 0.001274658
  28 0.000000000 0.001200000 0.001275984
  29 0.000000000 0.001200000 0.001277180
  30 0.000000000 0.001200000 0.001278247
  31 0.000000000 0.001200000 0.001279187
  32 0.000000000 0.001200000 0.001280003
  33 0.000000000 0.001200000 0.001280697
  34 0.000000000 0.001200000 0.001281272
  35 0.000000000 0.001200000 0.001281729
  36 0.000000000 0.001200000 0.001282073
  37 0.000000000 0.001200000 0.001282305
  38 0.000000000 0.001200000 0.001282428
  39 0.000000000 0.001200000 0.001282444
  40 0.000000000 0.001200000 0.001282357
  41 0.000000000 0.001200000 0.001282168
  42 0.000000000 0.001200000 0.001281881
  43 0.000000000 0.001200000 0.001281498
  44 0.000000000 0.001200000 0.001281021
  45 0.320000000 0.001200000 0.001282825
  46 0.000000000 0.001200000 0.001286852
  47 0.000000000 0.001200000 0.001290698
  48 0.000000000 0.001200000 0.001294365
  49 0.000000000 0.001200000 0.001297852
  50 0.000000000 0.001200000 0.001301162
  51 0.000000000 0.001200000 0.001304294
  52 0.000000000 0.001200000 0.001307251
  53 0.000000000 0.001200000 0.001310034
  54 0.000000000 0.001200000 0.001312645
  55 0.000000000 0.001200000 0.001315085
  56 0.000000000 0.001200000 0.001317356
  57 0.000000000 0.001200000 0.001319461
  58 0.000000000 0.001200000 0.001321402
  59 0.000000000 0.001200000 0.001323181
  60 0.000000000 0.001200000 0.001324801
  61 0.000000000 0.001200000 0.001326265
  62 0.000000000 0.001200000 0.001327574
  63 0.000000000 0.001200000 0.001328733
  64 0.000000000 0.001200000 0.001329743
  65 0.000000000 0.001200000 0.001330607
  66 0.000000000 0.001200000 0.001331329
  67 0.000000000 0.001200000 0.001331912
  68 0.000000000 0.001200000 0.001332359
  69 0.000000000 0.001200000 0.001332672
  70 0.000000000 0.001200000 0.001332855
  71 0.000000000 0.001200000 0.001332912
  72 0.000000000 0.001200000 0.001332844
  73 0.000000000 0.001200000 0.001332656
  74 0.000000000 0.001200000 0.001332351
  75 0.000000000 0.001200000 0.001331931
  76 0.000000000 0.001200000 0.001331401
  77 0.000000000 0.001200000 0.001330762
  78 0.000000000 0.001200000 0.001330019
  79 0.000000000 0.001200000 0.001329175
  80 0.000000000 0.001200000 0.001328232
  81 0.000000000 0.001200000 0.001327194
  82 0.000000000 0.001200000 0.001326064
  83 0.000000000 0.001200000 0.001324844
  84 0.000000000 0.001200000 0.001323539
  85 0.000000000 0.001200000 0.001322150
  86 0.000000000 0.001200000 0.001320681
  87 0.000000000 0.001200000 0.001319135
  88 0.000000000 0.001200000 0.001317515
  89 0.000000000 0.001200000 0.001315823
  90 0.000000000 0.001200000 0.001314062
  91 0.000000000 0.001300000 0.001312235
  92 0.000000000 0.001300000 0.001310344
  93 0.000000000 0.001300000 0.001308393
  94 0.080000000 0.001300000 0.001307001
  95 0.000000000 0.001200000 0.001306144
  96 0.000000000 0.001200000 0.001305199
  97 0.000000000 0.001200000 0.001304166
  98 0.000000000 0.001200000 0.001303050
  99 0.000000000 0.001200000 0.001301852
 100 0.000000000 0.001200000 0.001300576
 101 0.000000000 0.001200000 0.001299225
 102 0.000000000 0.001200000 0.001297801
 103 0.000000000 0.001200000 0.001296306
 104 0.000000000 0.001200000 0.001294744
 105 0.000000000 0.001200000 0.001293117
 106 0.000000000 0.001300000 0.001291427
 107 0.000000000 0.001300000 0.001289678
 108 0.000000000 0.001300000 0.001287870
 109 0.000000000 0.001300000 0.001286008
 110 0.000000000 0.001300000 0.001284092
 111 0.000000000 0.001300000 0.001282126
 112 0.000000000 0.001300000 0.001280112
 113 0.000000000 0.001300000 0.001278051
 114 0.200000000 0.001300000 0.001277417
 115 0.000000000 0.001300000 0.001278156
 116 0.000000000 0.001300000 0.001278776
 117 0.280000000 0.001300000 0.001281350
 118 0.000000000 0.001300000 0.001285834
 119 0.000000000 0.001300000 0.001290133
 120 0.000000000 0.001300000 0.001294247
 121 0.320000000 0.001300000 0.001300616
 122 0.000000000 0.001300000 0.001309227
 123 0.120000000 0.001300000 0.001318560
 124 0.000000000 0.001300000 0.001328615
 125 0.000000000 0.001300000 0.001338439
 126 0.000000000 0.001300000 0.001348025
 127 0.000000000 0.001300000 0.001357363
 128 0.000000000 0.001300000 0.001366448
 129 0.000000000 0.001300000 0.001375273
 130 0.000000000 0.001300000 0.001383832
 131 0.000000000 0.001300000 0.001392120
 132 0.000000000 0.001300000 0.001400133
 133 0.000000000 0.001300000 0.001407867
 134 0.000000000 0.001300000 0.001415320
 135 0.000000000 0.001300000 0.001422489
 136 0.000000000 0.001300000 0.001429371
 137 0.000000000 0.001300000 0.001435966
 138 0.000000000 0.001300000 0.001442273
 139 0.000000000 0.001300000 0.001448292
 140 0.000000000 0.001300000 0.001454022
 141 0.000000000 0.001300000 0.001459464
 142 0.000000000 0.001300000 0.001464620
 143 0.280000000 0.001300000 0.001472174
 144 0.000000000 0.001300000 0.001482098
 145 0.000000000 0.001300000 0.001491677
 146 0.000000000 0.001300000 0.001500907
 147 0.000000000 0.001300000 0.001509784
 148 0.000000000 0.001300000 0.001518306
 149 0.000000000 0.001300000 0.001526469
 150 0.120000000 0.001300000 0.001535506
 151 0.000000000 0.001300000 0.001545403
 152 0.320000000 0.001300000 0.001558275
 153 0.080000000 0.001300000 0.001574976
 154 0.000000000 0.001300000 0.001592116
 155 0.000000000 0.001300000 0.001608818
 156 0.000000000 0.001300000 0.001625064
 157 0.080000000 0.001300000 0.001641749
 158 0.120000000 0.001300000 0.001660253
 159 0.000000000 0.001300000 0.001679658
 160 0.000000000 0.001300000 0.001698544
 161 0.000000000 0.001300000 0.001716892
 162 0.000000000 0.001300000 0.001734681
 163 0.000000000 0.001300000 0.001751896
 164 0.000000000 0.001300000 0.001768521
 165 0.000000000 0.001300000 0.001784543
 166 0.000000000 0.001300000 0.001799951
 167 0.000000000 0.001300000 0.001814737
 168 0.000000000 0.001300000 0.001828891
 169 0.000000000 0.001300000 0.001842409
 170 0.000000000 0.001300000 0.001855287
 171 0.000000000 0.001300000 0.001867523
 172 0.000000000 0.001300000 0.001879114
 173 0.000000000 0.001300000 0.001890063
 174 0.000000000 0.001300000 0.001900370
 175 0.000000000 0.001300000 0.001910039
 176 0.000000000 0.001300000 0.001919073
 177 0.000000000 0.001300000 0.001927480
 178 0.000000000 0.001300000 0.001935264
 179 0.000000000 0.001300000 0.001942433
 180 0.000000000 0.001300000 0.001948997
 181 0.000000000 0.001300000 0.001954963
 182 0.000000000 0.001300000 0.001960341
 183 0.000000000 0.001300000 0.001965143
 184 0.000000000 0.001300000 0.001969380
 185 0.000000000 0.001300000 0.001973062
 186 0.000000000 0.001300000 0.001976203
 187 0.000000000 0.001300000 0.001978814
 188 0.000000000 0.001300000 0.001980910
 189 0.000000000 0.001300000 0.001982502
 190 0.000000000 0.001300000 0.001983605
 191 0.000000000 0.001300000 0.001984232
 192 0.000000000 0.001300000 0.001984398
 193 0.000000000 0.001300000 0.001984116
 194 0.000000000 0.001300000 0.001983400
 195 0.000000000 0.001300000 0.001982265
 196 0.000000000 0.001300000 0.001980725
 197 0.000000000 0.001300000 0.001978793
 198 0.000000000 0.001300000 0.001976484
 199 0.280000000 0.001300000 0.001977927
 200 0.000000000 0.001300000 0.001982972
 201 0.000000000 0.001300000 0.001987435
 202 0.000000000 0.001300000 0.001991326
 203 0.000000000 0.001300000 0.001994659
 204 0.120000000 0.001300000 0.001999235
 205 0.000000000 0.001300000 0.002005006
 206 0.000000000 0.001300000 0.002010162
 207 0.000000000 0.001300000 0.002014715
 208 0.120000000 0.001300000 0.002020490
 209 0.000000000 0.001300000 0.002027442
 210 0.000000000 0.001300000 0.002033736
 211 0.000000000 0.001300000 0.002039384
 212 0.000000000 0.001300000 0.002044398
 213 0.000000000 0.001300000 0.002048791
 214 0.000000000 0.001300000 0.002052575
 215 0.000000000 0.001300000 0.002055766
 216 0.000000000 0.001300000 0.002058377
 217 0.000000000 0.001300000 0.002060423
 218 0.000000000 0.001300000 0.002061919
 219 0.000000000 0.001300000 0.002062880
 220 0.000000000 0.001300000 0.002063322
 221 0.000000000 0.001300000 0.002063261
 222 0.000000000 0.001200000 0.002062712
 223 0.000000000 0.001200000 0.002061692
 224 0.000000000 0.001200000 0.002060216
 225 0.000000000 0.001200000 0.002058300
 226 0.000000000 0.001200000 0.002055961
 227 0.000000000 0.001200000 0.002053213
 228 0.000000000 0.001200000 0.002050072
 229 0.000000000 0.001200000 0.002046555
 230 0.000000000 0.001200000 0.002042677
 231 0.000000000 0.001200000 0.002038452
 232 0.000000000 0.001200000 0.002033895
 233 0.000000000 0.001200000 0.002029022
 234 0.000000000 0.001200000 0.002023847
 235 0.000000000 0.001200000 0.002018384
 236 0.320000000 0.001200000 0.002017467
 237 0.000000000 0.001300000 0.002020897
 238 0.000000000 0.001300000 0.002023762
 239 0.000000000 0.001300000 0.002026076
 240 0.000000000 0.001300000 0.002027854
 241 0.000000000 0.001300000 0.002029110
 242 0.000000000 0.001300000 0.002029858
 243 0.000000000 0.001300000 0.002030114
 244 0.000000000 0.001300000 0.002029892
 245 0.000000000 0.001300000 0.002029208
 246 0.000000000 0.001300000 0.002028076
