Urban Storage Function Model Solved by R-K-G Method

   k       rain       obsq       calq
   0                         0.0012
   1 0.000000000 0.001200000 0.001200017
   2 0.280000000 0.001200000 0.001209825
   3 0.000000000 0.001200000 0.001228956
   4 0.000000000 0.001200000 0.001247389
   5 0.000000000 0.001200000 0.001265132
   6 0.000000000 0.001200000 0.001282194
   7 0.120000000 0.001200000 0.001303054
   8 0.000000000 0.001200000 0.001327585
   9 0.000000000 0.001200000 0.001351224
  10 0.000000000 0.001200000 0.001373974
  11 0.000000000 0.001200000 0.001395843
  12 0.000000000 0.001200000 0.001416843
  13 0.000000000 0.001200000 0.001436986
  14 0.000000000 0.001200000 0.001456289
  15 0.000000000 0.001200000 0.001474770
  16 0.000000000 0.001200000 0.001492447
  17 0.000000000 0.001200000 0.001509341
  18 0.000000000 0.001200000 0.001525474
  19 0.000000000 0.001200000 0.001540867
  20 0.000000000 0.001200000 0.001555545
  21 0.000000000 0.001200000 0.001569529
  22 0.000000000 0.001200000 0.001582843
  23 0.000000000 0.001200000 0.001595511
  24 0.000000000 0.001200000 0.001607556
  25 0.000000000 0.001200000 0.001619001
  26 0.000000000 0.001200000 0.001629869
  27 0.000000000 0.001200000 0.001640182
  28 0.000000000 0.001200000 0.001649964
  29 0.000000000 0.001200000 0.001659234
  30 0.000000000 0.001200000 0.001668015
  31 0.000000000 0.001200000 0.001676327
  32 0.000000000 0.001200000 0.001684191
  33 0.000000000 0.001200000 0.001691625
  34 0.000000000 0.001200000 0.001698649
  35 0.000000000 0.001200000 0.001705281
  36 0.000000000 0.001200000 0.001711539
  37 0.000000000 0.001200000 0.001717440
  38 0.000000000 0.001200000 0.001723000
  39 0.000000000 0.001200000 0.001728235
  40 0.000000000 0.001200000 0.001733160
  41 0.000000000 0.001200000 0.001737790
  42 0.000000000 0.001200000 0.001742139
  43 0.000000000 0.001200000 0.001746220
  44 0.000000000 0.001200000 0.001750047
  45 0.320000000 0.001200000 0.001768733
  46 0.000000000 0.001200000 0.001801508
  47 0.000000000 0.001200000 0.001832840
  48 0.000000000 0.001200000 0.001862753
  49 0.000000000 0.001200000 0.001891275
  50 0.000000000 0.001200000 0.001918439
  51 0.000000000 0.001200000 0.001944279
  52 0.000000000 0.001200000 0.001968831
  53 0.000000000 0.001200000 0.001992134
  54 0.000000000 0.001200000 0.002014228
  55 0.000000000 0.001200000 0.002035153
  56 0.000000000 0.001200000 0.002054950
  57 0.000000000 0.001200000 0.002073660
  58 0.000000000 0.001200000 0.002091324
  59 0.000000000 0.001200000 0.002107983
  60 0.000000000 0.001200000 0.002123678
  61 0.000000000 0.001200000 0.002138448
  62 0.000000000 0.001200000 0.002152333
  63 0.000000000 0.001200000 0.002165370
  64 0.000000000 0.001200000 0.002177598
  65 0.000000000 0.001200000 0.002189051
  66 0.000000000 0.001200000 0.002199766
  67 0.000000000 0.001200000 0.002209777
  68 0.000000000 0.001200000 0.002219116
  69 0.000000000 0.001200000 0.002227817
  70 0.000000000 0.001200000 0.002235908
  71 0.000000000 0.001200000 0.002243421
  72 0.000000000 0.001200000 0.002250383
  73 0.000000000 0.001200000 0.002256823
  74 0.000000000 0.001200000 0.002262765
  75 0.000000000 0.001200000 0.002268236
  76 0.000000000 0.001200000 0.002273259
  77 0.000000000 0.001200000 0.002277858
  78 0.000000000 0.001200000 0.002282054
  79 0.000000000 0.001200000 0.002285869
  80 0.000000000 0.001200000 0.002289322
  81 0.000000000 0.001200000 0.002292433
  82 0.000000000 0.001200000 0.002295220
  83 0.000000000 0.001200000 0.002297700
  84 0.000000000 0.001200000 0.002299890
  85 0.000000000 0.001200000 0.002301806
  86 0.000000000 0.001200000 0.002303462
  87 0.000000000 0.001200000 0.002304872
  88 0.000000000 0.001200000 0.002306051
  89 0.000000000 0.001200000 0.002307012
  90 0.000000000 0.001200000 0.002307765
  91 0.000000000 0.001300000 0.002308324
  92 0.000000000 0.001300000 0.002308698
  93 0.000000000 0.001300000 0.002308899
  94 0.080000000 0.001300000 0.002313502
  95 0.000000000 0.001200000 0.002322181
  96 0.000000000 0.001200000 0.002330227
  97 0.000000000 0.001200000 0.002337670
  98 0.000000000 0.001200000 0.002344542
  99 0.000000000 0.001200000 0.002350869
 100 0.000000000 0.001200000 0.002356682
 101 0.000000000 0.001200000 0.002362005
 102 0.000000000 0.001200000 0.002366864
 103 0.000000000 0.001200000 0.002371283
 104 0.000000000 0.001200000 0.002375286
 105 0.000000000 0.001200000 0.002378895
 106 0.000000000 0.001300000 0.002382130
 107 0.000000000 0.001300000 0.002385011
 108 0.000000000 0.001300000 0.002387559
 109 0.000000000 0.001300000 0.002389790
 110 0.000000000 0.001300000 0.002391722
 111 0.000000000 0.001300000 0.002393372
 112 0.000000000 0.001300000 0.002394755
 113 0.000000000 0.001300000 0.002395887
 114 0.200000000 0.001300000 0.002408495
 115 0.000000000 0.001300000 0.002431798
 116 0.000000000 0.001300000 0.002453709
 117 0.280000000 0.001300000 0.002491044
 118 0.000000000 0.001300000 0.002543013
 119 0.000000000 0.001300000 0.002592393
 120 0.000000000 0.001300000 0.002639236
 121 0.320000000 0.001300000 0.002703805
 122 0.000000000 0.001300000 0.002785439
 123 0.120000000 0.001300000 0.002871299
 124 0.000000000 0.001300000 0.002961175
 125 0.000000000 0.001300000 0.003046981
 126 0.000000000 0.001300000 0.003128716
 127 0.000000000 0.001300000 0.003206405
 128 0.000000000 0.001300000 0.003280096
 129 0.000000000 0.001300000 0.003349853
 130 0.000000000 0.001300000 0.003415759
 131 0.000000000 0.001300000 0.003477906
 132 0.000000000 0.001300000 0.003536398
 133 0.000000000 0.001300000 0.003591347
 134 0.000000000 0.001300000 0.003642869
 135 0.000000000 0.001300000 0.003691087
 136 0.000000000 0.001300000 0.003736125
 137 0.000000000 0.001300000 0.003778108
 138 0.000000000 0.001300000 0.003817163
 139 0.000000000 0.001300000 0.003853416
 140 0.000000000 0.001300000 0.003886992
 141 0.000000000 0.001300000 0.003918014
 142 0.000000000 0.001300000 0.003946601
 143 0.280000000 0.001300000 0.003995448
 144 0.000000000 0.001300000 0.004063228
 145 0.000000000 0.001300000 0.004126699
 146 0.000000000 0.001300000 0.004186011
 147 0.000000000 0.001300000 0.004241317
 148 0.000000000 0.001300000 0.004292775
 149 0.000000000 0.001300000 0.004340544
 150 0.120000000 0.001300000 0.004395038
 151 0.000000000 0.001300000 0.004455747
 152 0.320000000 0.001300000 0.004540063
 153 0.080000000 0.001300000 0.004653692
 154 0.000000000 0.001300000 0.004767678
 155 0.000000000 0.001300000 0.004874870
 156 0.000000000 0.001300000 0.004975431
 157 0.080000000 0.001300000 0.005076993
 158 0.120000000 0.001300000 0.005190666
 159 0.000000000 0.001300000 0.005308361
 160 0.000000000 0.001300000 0.005418589
 161 0.000000000 0.001300000 0.005521563
 162 0.000000000 0.001300000 0.005617517
 163 0.000000000 0.001300000 0.005706697
 164 0.000000000 0.001300000 0.005789362
 165 0.000000000 0.001300000 0.005865774
 166 0.000000000 0.001300000 0.005936201
 167 0.000000000 0.001300000 0.006000913
 168 0.000000000 0.001300000 0.006060176
 169 0.000000000 0.001300000 0.006114254
 170 0.000000000 0.001300000 0.006163408
 171 0.000000000 0.001300000 0.006207891
 172 0.000000000 0.001300000 0.006247951
 173 0.000000000 0.001300000 0.006283827
 174 0.000000000 0.001300000 0.006315752
 175 0.000000000 0.001300000 0.006343949
 176 0.000000000 0.001300000 0.006368634
 177 0.000000000 0.001300000 0.006390011
 178 0.000000000 0.001300000 0.006408279
 179 0.000000000 0.001300000 0.006423626
 180 0.000000000 0.001300000 0.006436230
 181 0.000000000 0.001300000 0.006446264
 182 0.000000000 0.001300000 0.006453890
 183 0.000000000 0.001300000 0.006459261
 184 0.000000000 0.001300000 0.006462523
 185 0.000000000 0.001300000 0.006463815
 186 0.000000000 0.001300000 0.006463268
 187 0.000000000 0.001300000 0.006461005
 188 0.000000000 0.001300000 0.006457142
 189 0.000000000 0.001300000 0.006451790
 190 0.000000000 0.001300000 0.006445053
 191 0.000000000 0.001300000 0.006437027
 192 0.000000000 0.001300000 0.006427806
 193 0.000000000 0.001300000 0.006417474
 194 0.000000000 0.001300000 0.006406115
 195 0.000000000 0.001300000 0.006393802
 196 0.000000000 0.001300000 0.006380610
 197 0.000000000 0.001300000 0.006366604
 198 0.000000000 0.001300000 0.006351847
 199 0.280000000 0.001300000 0.006366107
 200 0.000000000 0.001300000 0.006406863
 201 0.000000000 0.001300000 0.006443301
 202 0.000000000 0.001300000 0.006475662
 203 0.000000000 0.001300000 0.006504177
 204 0.120000000 0.001300000 0.006542013
 205 0.000000000 0.001300000 0.006588326
 206 0.000000000 0.001300000 0.006629878
 207 0.000000000 0.001300000 0.006666931
 208 0.120000000 0.001300000 0.006712873
 209 0.000000000 0.001300000 0.006766894
 210 0.000000000 0.001300000 0.006815583
 211 0.000000000 0.001300000 0.006859228
 212 0.000000000 0.001300000 0.006898108
 213 0.000000000 0.001300000 0.006932492
 214 0.000000000 0.001300000 0.006962638
 215 0.000000000 0.001300000 0.006988796
 216 0.000000000 0.001300000 0.007011204
 217 0.000000000 0.001300000 0.007030090
 218 0.000000000 0.001300000 0.007045672
 219 0.000000000 0.001300000 0.007058156
 220 0.000000000 0.001300000 0.007067740
 221 0.000000000 0.001300000 0.007074611
 222 0.000000000 0.001200000 0.007078946
 223 0.000000000 0.001200000 0.007080913
 224 0.000000000 0.001200000 0.007080670
 225 0.000000000 0.001200000 0.007078367
 226 0.000000000 0.001200000 0.007074147
 227 0.000000000 0.001200000 0.007068142
 228 0.000000000 0.001200000 0.007060479
 229 0.000000000 0.001200000 0.007051275
 230 0.000000000 0.001200000 0.007040642
 231 0.000000000 0.001200000 0.007028684
 232 0.000000000 0.001200000 0.007015501
 233 0.000000000 0.001200000 0.007001184
 234 0.000000000 0.001200000 0.006985820
 235 0.000000000 0.001200000 0.006969490
 236 0.320000000 0.001200000 0.006988081
 237 0.000000000 0.001300000 0.007038538
 238 0.000000000 0.001300000 0.007083705
 239 0.000000000 0.001300000 0.007123875
 240 0.000000000 0.001300000 0.007159331
 241 0.000000000 0.001300000 0.007190347
 242 0.000000000 0.001300000 0.007217185
 243 0.000000000 0.001300000 0.007240096
 244 0.000000000 0.001300000 0.007259320
 245 0.000000000 0.001300000 0.007275087
